"participant","DayOfBirth","MonthOfBirth","YearOfBirth","age_years","age_months","AgeGroup","SiteID","Language","RemoveDOB","date","expName","psychopyVersion","visual_stimuli","age_group","block","block_displayed","test_trials","numRatio","convex_hull","avg_ind_Dot_size","cum_Surf","cum_perim","Num_1","Num_2","ConvHull_1","ConvHull_2","TotSurf_1","TotSurf_2","ADBD_1","ADBD_2","AvDiameter_1","AvDiameter_2","TotContour_1","TotContour_2","ADfC_1","ADfC_2","TS_CH_1","TS_CH_2","isa_1","isa_2","threefeat","threefeat_num","fourfeat","choice_right1","totaltime_exp","corAns","choice","accuracy","rt","filename","version"
"MNtest01",1,6,2023,3,39,"3-year-olds or younger","TESTSITE1","English","No","2026-09-13","amstask","2023.2.3","dot_array_v1","3-year-olds or younger","sample","Sample",1,0.75,75036.7,2340.24,15193.6,1113,3,4,57778.8,17257.9,10585.1,4608.5,19259.6,4314.48,67.03,38.3,631.7,481.3,135.62,74.12,0.183,0.267,3528.37,1152.12,"incongruent",2,"incongruent_largeR",1,1.897,"m","m",1,1.328,"TESTSITE1_MNtest01_R_TESTsim0001","local"
"MNtest01",1,6,2023,3,39,"3-year-olds or younger","TESTSITE1","English","No","2026-09-13","amstask","2023.2.3","dot_array_v1","3-year-olds or younger","sample","Sample",2,0.571,70310.9,1417.98,30791.4,2581.3,4,7,26691.8,43619.1,5671.9,9925.9,6672.95,6231.3,42.49,42.49,533.9,934.4,92.18,117.83,0.212,0.228,1417.97,1417.99,"congruent",1,"congruent_largeR",1,4.201,"m","m",1,1.544,"TESTSITE1_MNtest01_R_TESTsim0001","local"
"MNtest01",1,6,2023,3,39,"3-year-olds or younger","TESTSITE1","English","No","2026-09-13","amstask","2023.2.3","dot_array_v1","3-year-olds or younger","practice","Practice",3,0.75,194359.6,2808.6,54703,3657.9,12,9,69669.3,124690.3,16592.4,38110.6,5805.78,13854.48,41.96,73.43,1581.8,2076.1,148.92,199.22,0.238,0.306,1382.7,4234.51,"incongruent",2,"incongruent_largeL",0,5.997,"z","m",0,1.259,"TESTSITE1_MNtest01_R_TESTsim0001","local"
"MNtest01",1,6,2023,3,39,"3-year-olds or younger","TESTSITE1","English","No","2026-09-13","amstask","2023.2.3","dot_array_v1","3-year-olds or younger","practice","Practice",4,0.667,56013.8,820.88,67016.2,5181.4,9,6,36629.2,19384.6,7387.9,4925.3,4069.91,3230.77,32.33,32.33,914.1,609.4,107.98,78.55,0.202,0.254,820.88,820.88,"congruent",1,"congruent_largeL",0,7.627,"z","z",1,1.173,"TESTSITE1_MNtest01_R_TESTsim0001","local"
"MNtest01",1,6,2023,3,39,"3-year-olds or younger","TESTSITE1","English","No","2026-09-13","amstask","2023.2.3","dot_array_v1","3-year-olds or younger","practice","Practice",5,0.667,21068.4,981.75,71728.6,5722.7,3,2,10987.3,10081.1,2356.2,2356.2,3662.43,5040.55,31.62,38.73,298,243.3,59.14,56.65,0.214,0.234,785.4,1178.1,"equated",3,"equated_largeL",0,9.214,"z","z",1,1.128,"TESTSITE1_MNtest01_R_TESTsim0001","local"
"MNtest01",1,6,2023,3,39,"3-year-olds or younger","TESTSITE1","English","No","2026-09-13","amstask","2023.2.3","dot_array_v1","3-year-olds or younger","practice","Practice",6,0.571,27088.1,462.82,76441,6522.1,4,7,13791.6,13296.5,2356.2,2356.2,3447.9,1899.5,27.39,20.7,344.1,455.3,66.26,65.06,0.171,0.177,589.05,336.6,"equated",3,"equated_largeR",1,10.966,"m","m",1,1.216,"TESTSITE1_MNtest01_R_TESTsim0001","local"
"MNtest01",1,6,2023,3,39,"3-year-olds or younger","TESTSITE1","English","No","2026-09-13","amstask","2023.2.3","dot_array_v1","3-year-olds or younger","block1","Block1",7,0.667,21075.8,245.44,4712.4,1082.8,12,8,8366.1,12709.7,2356.2,2356.2,697.18,1588.71,15.81,19.36,596.1,486.7,51.6,63.61,0.282,0.185,196.35,294.52,"equated",3,"equated_largeL",0,13.299,"z","z",1,1.473,"TESTSITE1_MNtest01_R_TESTsim0001","local"
"MNtest01",1,6,2023,3,39,"3-year-olds or younger","TESTSITE1","English","No","2026-09-13","amstask","2023.2.3","dot_array_v1","3-year-olds or younger","block1","Block1",8,0.5,86857.5,2481.96,23269.8,2476.8,6,3,38325.3,48532.2,7331.3,11226.1,6387.55,16177.4,39.44,69.03,743.5,650.5,110.45,124.29,0.191,0.231,1221.88,3742.03,"incongruent",2,"incongruent_largeL",0,15.661,"z","m",0,1.463,"TESTSITE1_MNtest01_R_TESTsim0001","local"
"MNtest01",1,6,2023,3,39,"3-year-olds or younger","TESTSITE1","English","No","2026-09-13","amstask","2023.2.3","dot_array_v1","3-year-olds or younger","block1","Block1",9,0.727,19522,254.36,27982.2,3534.2,8,11,10728,8794,2356.2,2356.2,1341,799.45,19.36,16.51,486.7,570.7,58.44,52.91,0.22,0.268,294.52,214.2,"equated",3,"equated_largeR",1,18.195,"m","z",0,1.918,"TESTSITE1_MNtest01_R_TESTsim0001","local"
"MNtest01",1,6,2023,3,39,"3-year-olds or younger","TESTSITE1","English","No","2026-09-13","amstask","2023.2.3","dot_array_v1","3-year-olds or younger","block1","Block1",10,0.5,20798.1,589.05,32694.6,4253.7,3,6,11815.5,8982.6,2356.2,2356.2,3938.5,1497.1,31.62,22.36,298,421.5,61.33,53.47,0.199,0.262,785.4,392.7,"equated",3,"equated_largeR",1,20.81,"m","m",1,1.955,"TESTSITE1_MNtest01_R_TESTsim0001","local"
"MNtest01",1,6,2023,3,39,"3-year-olds or younger","TESTSITE1","English","No","2026-09-13","amstask","2023.2.3","dot_array_v1","3-year-olds or younger","block1","Block1",11,0.75,25089.2,553.84,40448.3,5421.6,8,6,13483,11606.2,4430.7,3323,1685.38,1934.37,26.55,26.55,667.4,500.5,65.51,60.78,0.329,0.286,553.84,553.83,"congruent",1,"congruent_largeL",0,23.029,"z","m",0,1.534,"TESTSITE1_MNtest01_R_TESTsim0001","local"
"MNtest01",1,6,2023,3,39,"3-year-olds or younger","TESTSITE1","English","No","2026-09-13","amstask","2023.2.3","dot_array_v1","3-year-olds or younger","block1","Block1",12,0.714,36622.7,902.12,50357.8,6598.2,7,5,9737.3,26885.4,3108.9,6800.6,1391.04,5377.08,23.78,41.61,522.9,653.7,55.67,92.51,0.319,0.253,444.13,1360.12,"incongruent",2,"incongruent_largeL",0,24.742,"z","m",0,0.951,"TESTSITE1_MNtest01_R_TESTsim0001","local"
"MNtest01",1,6,2023,3,39,"3-year-olds or younger","TESTSITE1","English","No","2026-09-13","amstask","2023.2.3","dot_array_v1","3-year-olds or younger","block1","Block1",13,0.6,22822.8,763.57,55691,7302.6,5,3,7305.4,15517.4,1879.5,3453.7,1461.08,5172.47,21.88,38.29,343.6,360.8,48.22,70.28,0.257,0.223,375.9,1151.23,"incongruent",2,"incongruent_largeL",0,26.276,"z","z",1,1.09,"TESTSITE1_MNtest01_R_TESTsim0001","local"
"MNtest01",1,6,2023,3,39,"3-year-olds or younger","TESTSITE1","English","No","2026-09-13","amstask","2023.2.3","dot_array_v1","3-year-olds or younger","block1","Block1",14,0.667,184535.5,1970.88,95108.5,10450.1,8,12,83562.5,100973,15767,23650.5,10445.31,8414.42,50.09,50.09,1259,1888.5,163.09,179.28,0.189,0.234,1970.88,1970.88,"congruent",1,"congruent_largeR",1,28.12,"m","z",0,1.304,"TESTSITE1_MNtest01_R_TESTsim0001","local"
