"participant","DayOfBirth","MonthOfBirth","YearOfBirth","age_years","age_months","AgeGroup","SiteID","Language","RemoveDOB","date","expName","psychopyVersion","visual_stimuli","age_group","block","block_displayed","test_trials","numRatio","convex_hull","avg_ind_Dot_size","cum_Surf","cum_perim","Num_1","Num_2","ConvHull_1","ConvHull_2","TotSurf_1","TotSurf_2","ADBD_1","ADBD_2","AvDiameter_1","AvDiameter_2","TotContour_1","TotContour_2","ADfC_1","ADfC_2","TS_CH_1","TS_CH_2","isa_1","isa_2","threefeat","threefeat_num","fourfeat","choice_right1","totaltime_exp","corAns","choice","accuracy","rt","filename","version"
"MNtest05",9,8,2022,4,49,"4-year-olds","TESTSITE1","English","No","2026-09-13","amstask","2023.2.3","dot_array_v1","4-year-olds","sample","Sample",1,0.714,21493.1,500.51,5497.9,876.4,7,5,5840.4,15652.7,1724.8,3773.1,834.34,3130.54,17.71,31,389.5,486.9,43.12,70.59,0.295,0.241,246.4,754.62,"incongruent",2,"incongruent_largeL",0,2.016,"z","z",1,1.403,"TESTSITE1_MNtest05_R_TESTsim0005","local"
"MNtest05",9,8,2022,4,49,"4-year-olds","TESTSITE1","English","No","2026-09-13","amstask","2023.2.3","dot_array_v1","4-year-olds","sample","Sample",2,0.778,18142.2,299.2,10210.3,1847.9,7,9,10936.2,7206,2356.2,2356.2,1562.31,800.67,20.7,18.26,455.3,516.2,59,47.89,0.215,0.327,336.6,261.8,"equated",3,"equated_largeR",1,3.891,"m","m",1,1.067,"TESTSITE1_MNtest05_R_TESTsim0005","local"
"MNtest05",9,8,2022,4,49,"4-year-olds","TESTSITE1","English","No","2026-09-13","amstask","2023.2.3","dot_array_v1","4-year-olds","practice","Practice",3,0.778,20127.1,299.2,4712.4,971.5,7,9,12395.5,7731.6,2356.2,2356.2,1770.79,859.07,20.7,18.26,455.3,516.2,62.81,49.61,0.19,0.305,336.6,261.8,"equated",3,"equated_largeR",1,6.159,"m","m",1,1.69,"TESTSITE1_MNtest05_R_TESTsim0005","local"
"MNtest05",9,8,2022,4,49,"4-year-olds","TESTSITE1","English","No","2026-09-13","amstask","2023.2.3","dot_array_v1","4-year-olds","practice","Practice",4,0.6,21400.8,628.32,9424.8,1654.3,5,3,10454.1,10946.7,2356.2,2356.2,2090.82,3648.9,24.49,31.62,384.8,298,57.69,59.03,0.225,0.215,471.24,785.4,"equated",3,"equated_largeL",0,8.751,"z","z",1,2.073,"TESTSITE1_MNtest05_R_TESTsim0005","local"
"MNtest05",9,8,2022,4,49,"4-year-olds","TESTSITE1","English","No","2026-09-13","amstask","2023.2.3","dot_array_v1","4-year-olds","practice","Practice",5,0.5,33179.6,2145.69,20120.2,2518.4,4,2,12685.4,20494.2,4225.3,6470.1,3171.35,10247.1,36.67,64.18,460.9,403.2,63.54,80.77,0.333,0.316,1056.33,3235.05,"incongruent",2,"incongruent_largeL",0,10.127,"z","z",1,0.788,"TESTSITE1_MNtest05_R_TESTsim0005","local"
"MNtest05",9,8,2022,4,49,"4-year-olds","TESTSITE1","English","No","2026-09-13","amstask","2023.2.3","dot_array_v1","4-year-olds","practice","Practice",6,0.75,51189.9,1777.84,31662.5,3488.5,3,4,35286.9,15903,8041.3,3501,11762.3,3975.75,58.42,33.38,550.6,419.5,105.98,71.15,0.228,0.22,2680.43,875.25,"incongruent",2,"incongruent_largeR",1,11.674,"m","m",1,0.753,"TESTSITE1_MNtest05_R_TESTsim0005","local"
"MNtest05",9,8,2022,4,49,"4-year-olds","TESTSITE1","English","No","2026-09-13","amstask","2023.2.3","dot_array_v1","4-year-olds","block1","Block1",7,0.5,8435,327.19,1963.1,384.7,2,4,3822.7,4612.3,654.4,1308.7,1911.35,1153.08,20.41,20.41,128.2,256.5,34.88,38.32,0.171,0.284,327.2,327.18,"congruent",1,"congruent_largeR",1,13.538,"m","m",1,1.277,"TESTSITE1_MNtest05_R_TESTsim0005","local"
"MNtest05",9,8,2022,4,49,"4-year-olds","TESTSITE1","English","No","2026-09-13","amstask","2023.2.3","dot_array_v1","4-year-olds","block1","Block1",8,0.7,21735.3,286.11,6675.5,1384.1,10,7,8568.6,13166.7,2356.2,2356.2,856.86,1880.96,17.32,20.7,544.1,455.3,52.23,64.74,0.275,0.179,235.62,336.6,"equated",3,"equated_largeL",0,15.654,"z","z",1,1.697,"TESTSITE1_MNtest05_R_TESTsim0005","local"
"MNtest05",9,8,2022,4,49,"4-year-olds","TESTSITE1","English","No","2026-09-13","amstask","2023.2.3","dot_array_v1","4-year-olds","block1","Block1",9,0.6,49739.1,1926.37,20130.4,2503,5,3,21609.7,28129.4,4741.8,8713.1,4321.94,9376.47,34.75,60.81,545.8,573.1,82.94,94.62,0.219,0.31,948.36,2904.37,"incongruent",2,"incongruent_largeL",0,18.36,"z","z",1,2.014,"TESTSITE1_MNtest05_R_TESTsim0005","local"
"MNtest05",9,8,2022,4,49,"4-year-olds","TESTSITE1","English","No","2026-09-13","amstask","2023.2.3","dot_array_v1","4-year-olds","block1","Block1",10,0.5,141370.1,2207.73,53144.5,5132.5,12,6,73084.5,68285.6,13042.6,19971.5,6090.38,11380.93,37.2,65.1,1402.4,1227.1,152.52,147.43,0.178,0.292,1086.88,3328.58,"incongruent",2,"incongruent_largeL",0,20.748,"z","z",1,1.914,"TESTSITE1_MNtest05_R_TESTsim0005","local"
