"participant","DayOfBirth","MonthOfBirth","YearOfBirth","age_years","age_months","AgeGroup","SiteID","Language","RemoveDOB","date","expName","psychopyVersion","item","clicks","objects","target_pos","probe_obj","probe_p1","probe_p2","probe_p3","probe_p4","probe_p5","probe_p6","probe_p7","test_p1","test_p2","test_p3","test_p4","test_p5","test_p6","test_p7","test_p8","test_p9","test_p10","test_p11","test_p12","test_p13","test_p14","test_p15","test_p16","test_p17","test_p18","test_p19","test_p20","corr_p1","corr_p2","corr_p3","corr_p4","corr_p5","corr_p6","corr_p7","corr_p8","corr_p9","corr_p10","corr_p11","corr_p12","corr_p13","corr_p14","corr_p15","corr_p16","corr_p17","corr_p18","corr_p19","corr_p20","P1T_rectangle","P2T_rectangle","P3T_rectangle","P4T_rectangle","P5T_rectangle","P6T_rectangle","P7T_rectangle","P8T_rectangle","P9T_rectangle","P10T_rectangle","P11T_rectangle","P12T_rectangle","P13T_rectangle","P14T_rectangle","P15T_rectangle","P16T_rectangle","P17T_rectangle","P18T_rectangle","P19T_rectangle","P20T_rectangle","presented","start","end","rt","accuracy","version","monitor_size","window_size","totaltime_exp","filename"
"MNtest04",20,2,2020,6,78,"5-year-olds","TESTSITE2","English","No","2026-09-13","vmtask","2023.2.3","VM_trial1_set2",2,2,"pos8","triangle","pos8","pos19",NA,NA,NA,NA,NA,"empty","empty","empty","empty","empty","empty","empty","occupied","empty","empty","empty","empty","empty","empty","empty","empty","empty","empty","occupied","empty",1,1,1,1,1,1,0,1,1,1,1,1,1,1,1,0,1,1,1,1,0.508,1.229,0.898,2.263,0.614,1.36,0.444,1.294,0.417,0.736,1.267,0.61,1.13,1.389,0.624,1.008,0.972,0.624,0.413,0.844,2,0,18.644,18.644,1,"local","1920x1080","1920x1080",18.644,"TESTSITE2_MNtest04_R_TESTsim0004"
"MNtest04",20,2,2020,6,78,"5-year-olds","TESTSITE2","English","No","2026-09-13","vmtask","2023.2.3","VM_trial2_set2",2,2,"pos15","triangle","pos3","pos15",NA,NA,NA,NA,NA,"empty","empty","occupied","empty","empty","empty","empty","empty","empty","empty","empty","empty","empty","empty","occupied","empty","empty","empty","empty","empty",1,0,1,1,1,1,1,1,1,1,1,1,0,1,1,1,1,1,1,1,0.733,1.31,1.251,0.629,1.261,0.858,1.744,0.589,1.115,1.489,0.725,0.475,0.64,0.731,0.688,0.41,0.947,0.891,0.984,1.304,2,19.644,38.418,18.774,1,"local","1920x1080","1920x1080",38.418,"TESTSITE2_MNtest04_R_TESTsim0004"
"MNtest04",20,2,2020,6,78,"5-year-olds","TESTSITE2","English","No","2026-09-13","vmtask","2023.2.3","VM_trial3_set3",3,3,"pos3","square","pos1","pos3","pos20",NA,NA,NA,NA,"occupied","empty","occupied","empty","empty","empty","empty","empty","empty","empty","empty","empty","empty","empty","empty","empty","empty","empty","empty","occupied",1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,1,1,1,1,1.023,0.8,1.175,0.757,0.52,0.805,0.924,0.466,1.309,0.862,0.698,0.523,0.984,1.972,0.634,0.418,0.733,1.075,0.549,0.9,3,39.418,56.545,17.127,1,"local","1920x1080","1920x1080",56.545,"TESTSITE2_MNtest04_R_TESTsim0004"
"MNtest04",20,2,2020,6,78,"5-year-olds","TESTSITE2","English","No","2026-09-13","vmtask","2023.2.3","VM_trial4_set3",3,3,"pos20","star","pos6","pos18","pos20",NA,NA,NA,NA,"empty","empty","empty","empty","empty","occupied","empty","empty","empty","empty","empty","empty","empty","empty","empty","empty","empty","occupied","empty","occupied",1,1,1,1,1,1,1,1,1,1,1,1,0,1,1,1,0,1,1,1,0.841,0.572,1.113,0.866,1.429,0.744,1.049,0.517,1.157,0.596,0.717,0.369,0.876,0.824,1.064,0.332,0.759,1.351,0.858,0.447,3,57.545,74.026,16.481,1,"local","1920x1080","1920x1080",74.026,"TESTSITE2_MNtest04_R_TESTsim0004"
"MNtest04",20,2,2020,6,78,"5-year-olds","TESTSITE2","English","No","2026-09-13","vmtask","2023.2.3","VM_trial5_set4",4,4,"pos6","circle","pos6","pos7","pos17","pos18",NA,NA,NA,"empty","empty","empty","empty","empty","occupied","occupied","empty","empty","empty","empty","empty","empty","empty","empty","empty","occupied","occupied","empty","empty",1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,0.78,1.299,0.517,1.108,1.347,0.772,0.94,0.62,0.781,0.641,1.134,1.046,0.897,0.377,1.774,0.448,0.62,0.543,0.468,1.009,4,75.026,92.147,17.121,1,"local","1920x1080","1920x1080",92.147,"TESTSITE2_MNtest04_R_TESTsim0004"
"MNtest04",20,2,2020,6,78,"5-year-olds","TESTSITE2","English","No","2026-09-13","vmtask","2023.2.3","VM_trial6_set4",4,4,"pos8","square","pos8","pos9","pos16","pos19",NA,NA,NA,"empty","empty","empty","empty","empty","empty","empty","occupied","occupied","empty","empty","empty","empty","empty","empty","occupied","empty","empty","occupied","empty",1,1,1,1,1,1,1,1,0,1,1,1,1,1,1,1,1,1,1,1,1.029,0.463,0.69,1.576,1.106,1.505,0.871,0.519,1.177,1.26,0.722,1.2,1.273,0.687,0.392,0.493,0.551,0.62,1.133,0.594,4,93.147,111.008,17.861,0,"local","1920x1080","1920x1080",111.008,"TESTSITE2_MNtest04_R_TESTsim0004"
"MNtest04",20,2,2020,6,78,"5-year-olds","TESTSITE2","English","No","2026-09-13","vmtask","2023.2.3","VM_trial7_set5",5,5,"pos7","square","pos5","pos7","pos10","pos11","pos17",NA,NA,"empty","empty","empty","empty","occupied","empty","occupied","empty","empty","occupied","occupied","empty","empty","empty","empty","empty","occupied","empty","empty","empty",1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0.939,0.368,0.92,0.61,0.736,0.755,0.73,0.592,1.483,1.162,0.923,0.413,0.698,0.367,0.873,0.394,0.518,0.506,0.484,0.941,5,112.008,126.42,14.412,1,"local","1920x1080","1920x1080",126.42,"TESTSITE2_MNtest04_R_TESTsim0004"
"MNtest04",20,2,2020,6,78,"5-year-olds","TESTSITE2","English","No","2026-09-13","vmtask","2023.2.3","VM_trial8_set5",5,5,"pos16","square","pos10","pos14","pos16","pos19","pos20",NA,NA,"empty","empty","empty","empty","empty","empty","empty","empty","empty","occupied","empty","empty","empty","occupied","empty","occupied","empty","empty","occupied","occupied",1,1,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,1,1,0.47,0.737,0.555,0.74,0.855,1.164,1.672,0.624,1.08,0.849,1.139,1.001,1.012,1.505,0.526,0.891,1.098,0.656,0.902,0.792,5,127.42,145.688,18.268,1,"local","1920x1080","1920x1080",145.688,"TESTSITE2_MNtest04_R_TESTsim0004"
"MNtest04",20,2,2020,6,78,"5-year-olds","TESTSITE2","English","No","2026-09-13","vmtask","2023.2.3","VM_trial9_set6",6,6,"pos8","square","pos8","pos12","pos13","pos15","pos17","pos18",NA,"empty","empty","empty","empty","empty","empty","empty","occupied","empty","empty","empty","occupied","occupied","empty","occupied","empty","occupied","occupied","empty","empty",0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1.1,0.563,1.515,1.181,0.786,0.771,0.935,0.686,0.777,0.836,0.692,0.992,0.512,0.916,0.652,0.869,0.543,0.671,1.019,0.986,6,146.688,163.69,17.002,1,"local","1920x1080","1920x1080",163.69,"TESTSITE2_MNtest04_R_TESTsim0004"
"MNtest04",20,2,2020,6,78,"5-year-olds","TESTSITE2","English","No","2026-09-13","vmtask","2023.2.3","VM_trial10_set6",6,6,"pos3","square","pos2","pos3","pos7","pos17","pos18","pos20",NA,"empty","occupied","occupied","empty","empty","empty","occupied","empty","empty","empty","empty","empty","empty","empty","empty","empty","occupied","occupied","empty","occupied",1,1,1,1,1,1,0,1,0,1,0,1,1,0,1,1,1,1,1,1,0.632,0.538,0.447,1.576,0.508,0.903,1.158,0.386,0.545,1.205,0.824,0.692,1.132,0.8,0.779,0.851,0.622,0.74,0.477,0.933,6,164.69,180.438,15.748,1,"local","1920x1080","1920x1080",180.438,"TESTSITE2_MNtest04_R_TESTsim0004"
