"participant","DayOfBirth","MonthOfBirth","YearOfBirth","age_years","age_months","AgeGroup","SiteID","Language","RemoveDOB","date","expName","psychopyVersion","item","clicks","objects","target_pos","probe_obj","probe_p1","probe_p2","probe_p3","probe_p4","probe_p5","probe_p6","probe_p7","test_p1","test_p2","test_p3","test_p4","test_p5","test_p6","test_p7","test_p8","test_p9","test_p10","test_p11","test_p12","test_p13","test_p14","test_p15","test_p16","test_p17","test_p18","test_p19","test_p20","corr_p1","corr_p2","corr_p3","corr_p4","corr_p5","corr_p6","corr_p7","corr_p8","corr_p9","corr_p10","corr_p11","corr_p12","corr_p13","corr_p14","corr_p15","corr_p16","corr_p17","corr_p18","corr_p19","corr_p20","P1T_rectangle","P2T_rectangle","P3T_rectangle","P4T_rectangle","P5T_rectangle","P6T_rectangle","P7T_rectangle","P8T_rectangle","P9T_rectangle","P10T_rectangle","P11T_rectangle","P12T_rectangle","P13T_rectangle","P14T_rectangle","P15T_rectangle","P16T_rectangle","P17T_rectangle","P18T_rectangle","P19T_rectangle","P20T_rectangle","presented","start","end","rt","accuracy","version","monitor_size","window_size","totaltime_exp","filename"
"MNtest01",1,6,2023,3,39,"3-year-olds or younger","TESTSITE1","English","No","2026-09-13","vmtask","2023.2.3","VM_trial1_set2",2,2,"pos15","circle","pos15","pos17",NA,NA,NA,NA,NA,"empty","empty","empty","empty","empty","empty","empty","empty","empty","empty","empty","empty","empty","empty","occupied","empty","occupied","empty","empty","empty",1,1,1,1,0,1,1,1,1,1,1,1,0,1,0,1,1,1,1,0,0.844,0.946,0.757,0.8,1.941,0.609,1.436,1.344,0.929,1.462,0.847,0.955,0.655,0.914,0.507,0.675,0.722,0.824,0.477,0.838,2,0,18.482,18.482,0,"local","1920x1080","1920x1080",18.482,"TESTSITE1_MNtest01_R_TESTsim0001"
"MNtest01",1,6,2023,3,39,"3-year-olds or younger","TESTSITE1","English","No","2026-09-13","vmtask","2023.2.3","VM_trial2_set2",2,2,"pos4","square","pos4","pos18",NA,NA,NA,NA,NA,"empty","empty","empty","occupied","empty","empty","empty","empty","empty","empty","empty","empty","empty","empty","empty","empty","empty","occupied","empty","empty",1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0.907,0.512,0.777,0.791,0.754,1.168,1.099,0.719,0.955,0.65,0.624,0.629,1.139,0.68,0.737,0.266,1.131,0.751,0.928,0.734,2,19.482,35.433,15.951,1,"local","1920x1080","1920x1080",35.433,"TESTSITE1_MNtest01_R_TESTsim0001"
"MNtest01",1,6,2023,3,39,"3-year-olds or younger","TESTSITE1","English","No","2026-09-13","vmtask","2023.2.3","VM_trial3_set3",3,3,"pos15","square","pos12","pos13","pos15",NA,NA,NA,NA,"empty","empty","empty","empty","empty","empty","empty","empty","empty","empty","empty","occupied","occupied","empty","occupied","empty","empty","empty","empty","empty",1,1,1,1,1,1,1,1,1,0,1,1,1,1,1,1,1,1,1,1,0.497,0.315,1.039,0.661,1.598,0.481,0.327,0.942,0.428,0.848,0.51,1.299,0.999,0.513,0.733,1.522,1.501,1.556,0.869,0.664,3,36.433,53.735,17.302,1,"local","1920x1080","1920x1080",53.735,"TESTSITE1_MNtest01_R_TESTsim0001"
"MNtest01",1,6,2023,3,39,"3-year-olds or younger","TESTSITE1","English","No","2026-09-13","vmtask","2023.2.3","VM_trial4_set3",3,3,"pos16","circle","pos5","pos14","pos16",NA,NA,NA,NA,"empty","empty","empty","empty","occupied","empty","empty","empty","empty","empty","empty","empty","empty","occupied","empty","occupied","empty","empty","empty","empty",1,1,1,1,1,1,1,1,1,1,1,1,1,0,1,1,1,1,1,1,0.834,2.374,0.539,1.432,0.492,0.808,0.765,0.533,1.106,1.084,0.616,0.456,0.666,0.53,1.397,0.721,0.907,0.821,1.15,0.853,3,54.735,72.819,18.084,0,"local","1920x1080","1920x1080",72.819,"TESTSITE1_MNtest01_R_TESTsim0001"
"MNtest01",1,6,2023,3,39,"3-year-olds or younger","TESTSITE1","English","No","2026-09-13","vmtask","2023.2.3","VM_trial5_set4",4,4,"pos15","square","pos7","pos14","pos15","pos16",NA,NA,NA,"empty","empty","empty","empty","empty","empty","occupied","empty","empty","empty","empty","empty","empty","occupied","occupied","occupied","empty","empty","empty","empty",1,0,1,1,1,1,1,1,1,1,1,1,1,0,1,1,1,1,1,1,0.507,0.481,0.56,0.804,0.56,0.849,0.584,0.284,1.268,0.543,0.813,0.855,1.418,0.818,0.892,1.594,1.02,0.404,0.935,0.353,4,73.819,89.361,15.542,0,"local","1920x1080","1920x1080",89.361,"TESTSITE1_MNtest01_R_TESTsim0001"
"MNtest01",1,6,2023,3,39,"3-year-olds or younger","TESTSITE1","English","No","2026-09-13","vmtask","2023.2.3","VM_trial6_set4",4,4,"pos5","circle","pos4","pos5","pos6","pos16",NA,NA,NA,"empty","empty","empty","occupied","occupied","occupied","empty","empty","empty","empty","empty","empty","empty","empty","empty","occupied","empty","empty","empty","empty",1,1,1,1,0,1,1,1,1,0,1,0,1,1,1,1,1,1,1,1,0.944,0.335,1.856,0.631,1.659,0.941,0.669,0.434,0.724,0.226,1.539,0.746,1.235,0.836,0.521,0.735,1.055,1.021,1.276,0.692,4,90.361,108.436,18.075,0,"local","1920x1080","1920x1080",108.436,"TESTSITE1_MNtest01_R_TESTsim0001"
"MNtest01",1,6,2023,3,39,"3-year-olds or younger","TESTSITE1","English","No","2026-09-13","vmtask","2023.2.3","VM_trial7_set5",5,5,"pos4","square","pos3","pos4","pos11","pos15","pos16",NA,NA,"empty","empty","occupied","occupied","empty","empty","empty","empty","empty","empty","occupied","empty","empty","empty","occupied","occupied","empty","empty","empty","empty",1,1,0,0,1,1,1,0,1,1,1,0,0,1,0,1,1,1,1,1,0.931,0.905,0.881,0.559,1.247,0.687,1.82,0.816,1.122,0.799,0.453,1.988,1.167,0.704,0.734,1.39,1.007,0.812,1.062,0.582,5,109.436,129.102,19.666,0,"local","1920x1080","1920x1080",129.102,"TESTSITE1_MNtest01_R_TESTsim0001"
"MNtest01",1,6,2023,3,39,"3-year-olds or younger","TESTSITE1","English","No","2026-09-13","vmtask","2023.2.3","VM_trial8_set5",5,5,"pos7","circle","pos1","pos3","pos7","pos11","pos20",NA,NA,"occupied","empty","occupied","empty","empty","empty","occupied","empty","empty","empty","occupied","empty","empty","empty","empty","empty","empty","empty","empty","occupied",1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0.796,1.381,0.362,0.462,1.185,0.818,0.466,0.611,1.186,0.672,0.635,0.323,0.825,0.533,0.82,1.231,0.356,0.927,1.024,0.68,5,130.102,145.395,15.293,1,"local","1920x1080","1920x1080",145.395,"TESTSITE1_MNtest01_R_TESTsim0001"
"MNtest01",1,6,2023,3,39,"3-year-olds or younger","TESTSITE1","English","No","2026-09-13","vmtask","2023.2.3","VM_trial9_set6",6,6,"pos5","circle","pos3","pos5","pos6","pos13","pos16","pos18",NA,"empty","empty","occupied","empty","occupied","occupied","empty","empty","empty","empty","empty","empty","occupied","empty","empty","occupied","empty","occupied","empty","empty",0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,1,1,1.266,0.852,0.651,0.914,1.216,0.788,0.397,0.639,0.576,0.652,0.916,1.266,1.105,0.665,0.89,0.63,0.835,1.366,1.335,1.083,6,146.395,164.437,18.042,1,"local","1920x1080","1920x1080",164.437,"TESTSITE1_MNtest01_R_TESTsim0001"
"MNtest01",1,6,2023,3,39,"3-year-olds or younger","TESTSITE1","English","No","2026-09-13","vmtask","2023.2.3","VM_trial10_set6",6,6,"pos19","circle","pos3","pos4","pos6","pos7","pos17","pos19",NA,"empty","empty","occupied","occupied","empty","occupied","occupied","empty","empty","empty","empty","empty","empty","empty","empty","empty","occupied","empty","occupied","empty",1,0,1,0,1,0,1,1,1,1,1,1,1,1,1,1,0,1,0,1,0.454,0.988,0.842,0.406,1.031,0.729,0.666,0.76,0.71,0.644,0.852,0.799,0.728,0.461,0.977,0.789,1.096,1.159,0.805,0.996,6,165.437,181.329,15.892,0,"local","1920x1080","1920x1080",181.329,"TESTSITE1_MNtest01_R_TESTsim0001"
