"participant","DayOfBirth","MonthOfBirth","YearOfBirth","age_years","age_months","AgeGroup","SiteID","Language","RemoveDOB","date","expName","psychopyVersion","visual_stimuli","age_group","block","block_displayed","test_trials","numRatio","convex_hull","avg_ind_Dot_size","cum_Surf","cum_perim","Num_1","Num_2","ConvHull_1","ConvHull_2","TotSurf_1","TotSurf_2","ADBD_1","ADBD_2","AvDiameter_1","AvDiameter_2","TotContour_1","TotContour_2","ADfC_1","ADfC_2","TS_CH_1","TS_CH_2","isa_1","isa_2","threefeat","threefeat_num","fourfeat","choice_right1","totaltime_exp","corAns","choice","accuracy","rt","filename","version"
"MNtest04",20,2,2020,6,78,"5-year-olds","TESTSITE2","English","No","2026-09-13","amstask","2023.2.3","dot_array_v1","5-year-olds","sample","Sample",1,0.714,79968.5,1629.47,19553.7,1717.2,5,7,42770.6,37197.9,8147.4,11406.3,8554.12,5313.99,45.55,45.55,715.5,1001.7,116.68,108.81,0.19,0.307,1629.48,1629.47,"congruent",1,"congruent_largeR",1,2.458,"m","m",1,1.679,"TESTSITE2_MNtest04_R_TESTsim0004","local"
"MNtest04",20,2,2020,6,78,"5-year-olds","TESTSITE2","English","No","2026-09-13","amstask","2023.2.3","dot_array_v1","5-year-olds","sample","Sample",2,0.714,28354.8,520.38,25798.3,2687.6,5,7,10777.7,17577.1,2601.9,3642.7,2155.54,2511.01,25.74,25.74,404.3,566.1,58.57,74.8,0.241,0.207,520.38,520.39,"congruent",1,"congruent_largeR",1,3.936,"m","m",1,0.975,"TESTSITE2_MNtest04_R_TESTsim0004","local"
"MNtest04",20,2,2020,6,78,"5-year-olds","TESTSITE2","English","No","2026-09-13","amstask","2023.2.3","dot_array_v1","5-year-olds","practice","Practice",3,0.75,281758.9,3043.99,59287.4,3808,12,9,66784.1,214974.8,17982.9,41304.5,5565.34,23886.09,43.68,76.44,1646.7,2161.3,145.8,261.59,0.269,0.192,1498.58,4589.39,"incongruent",2,"incongruent_largeL",0,6.041,"z","z",1,1.26,"TESTSITE2_MNtest04_R_TESTsim0004","local"
"MNtest04",20,2,2020,6,78,"5-year-olds","TESTSITE2","English","No","2026-09-13","amstask","2023.2.3","dot_array_v1","5-year-olds","practice","Practice",4,0.778,162064.2,2692.83,99638.4,6550.7,9,7,69076.2,92988,11931.3,28419.7,7675.13,13284,41.08,71.9,1161.6,1581.1,148.28,172.04,0.173,0.306,1325.7,4059.96,"incongruent",2,"incongruent_largeL",0,9.051,"z","m",0,2.384,"TESTSITE2_MNtest04_R_TESTsim0004","local"
"MNtest04",20,2,2020,6,78,"5-year-olds","TESTSITE2","English","No","2026-09-13","amstask","2023.2.3","dot_array_v1","5-year-olds","practice","Practice",5,0.6,20135.9,628.32,104350.8,7233.5,3,5,12597.3,7538.6,2356.2,2356.2,4199.1,1507.72,31.62,24.49,298,384.8,63.32,48.99,0.187,0.313,785.4,471.24,"equated",3,"equated_largeR",1,10.813,"m","m",1,1.343,"TESTSITE2_MNtest04_R_TESTsim0004","local"
"MNtest04",20,2,2020,6,78,"5-year-olds","TESTSITE2","English","No","2026-09-13","amstask","2023.2.3","dot_array_v1","5-year-olds","practice","Practice",6,0.75,12123.5,546.4,108175.6,7813.6,4,3,6942.5,5181,2185.6,1639.2,1735.62,1727,26.38,26.38,331.5,248.6,47.01,40.61,0.315,0.316,546.4,546.4,"congruent",1,"congruent_largeL",0,12.352,"z","z",1,0.864,"TESTSITE2_MNtest04_R_TESTsim0004","local"
"MNtest04",20,2,2020,6,78,"5-year-olds","TESTSITE2","English","No","2026-09-13","amstask","2023.2.3","dot_array_v1","5-year-olds","block1","Block1",7,0.714,61755.9,982.4,11788.9,1333.3,5,7,25055.7,36700.2,4912,6876.9,5011.14,5242.89,35.37,35.37,555.5,777.8,89.31,108.08,0.196,0.187,982.4,982.41,"congruent",1,"congruent_largeR",1,13.491,"m","m",1,0.679,"TESTSITE2_MNtest04_R_TESTsim0004","local"
"MNtest04",20,2,2020,6,78,"5-year-olds","TESTSITE2","English","No","2026-09-13","amstask","2023.2.3","dot_array_v1","5-year-olds","block1","Block1",8,0.778,64548.3,874.41,24891.6,2896.2,7,9,52716.4,11831.9,9228.4,3874.3,7530.91,1314.66,40.97,23.41,901,661.9,129.54,61.37,0.175,0.327,1318.34,430.48,"incongruent",2,"incongruent_largeR",1,16.175,"m","m",1,1.938,"TESTSITE2_MNtest04_R_TESTsim0004","local"
"MNtest04",20,2,2020,6,78,"5-year-olds","TESTSITE2","English","No","2026-09-13","amstask","2023.2.3","dot_array_v1","5-year-olds","block1","Block1",9,0.778,190993.6,2330.81,59817.9,5447.9,9,7,57562.8,133430.8,10327.3,24599,6395.87,19061.54,38.22,66.89,1080.7,1471,135.36,206.09,0.179,0.184,1147.48,3514.14,"incongruent",2,"incongruent_largeL",0,17.485,"z","z",1,0.826,"TESTSITE2_MNtest04_R_TESTsim0004","local"
"MNtest04",20,2,2020,6,78,"5-year-olds","TESTSITE2","English","No","2026-09-13","amstask","2023.2.3","dot_array_v1","5-year-olds","block1","Block1",10,0.667,75629.6,1085.53,76101,7199.9,6,9,29589.9,46039.7,6513.2,9769.9,4931.65,5115.52,37.18,37.18,700.8,1051.2,97.05,121.06,0.22,0.212,1085.53,1085.54,"congruent",1,"congruent_largeR",1,19.45,"m","m",1,1.471,"TESTSITE2_MNtest04_R_TESTsim0004","local"
"MNtest04",20,2,2020,6,78,"5-year-olds","TESTSITE2","English","No","2026-09-13","amstask","2023.2.3","dot_array_v1","5-year-olds","block1","Block1",11,0.571,23632.8,400.02,80501.3,7979.8,7,4,14766.6,8866.2,2800.2,1600.1,2109.51,2216.55,22.57,22.57,496.3,283.6,68.56,53.12,0.19,0.18,400.03,400.02,"congruent",1,"congruent_largeL",0,21.085,"z","z",1,1.036,"TESTSITE2_MNtest04_R_TESTsim0004","local"
"MNtest04",20,2,2020,6,78,"5-year-olds","TESTSITE2","English","No","2026-09-13","amstask","2023.2.3","dot_array_v1","5-year-olds","block1","Block1",12,0.8,61518.4,859.35,95969.6,9850.3,10,8,39977.8,21540.6,8593.5,6874.8,3997.78,2692.57,33.08,33.08,1039.2,831.3,112.81,82.8,0.215,0.319,859.35,859.35,"congruent",1,"congruent_largeL",0,24.63,"z","z",1,2.895,"TESTSITE2_MNtest04_R_TESTsim0004","local"
