"participant","DayOfBirth","MonthOfBirth","YearOfBirth","age_years","age_months","AgeGroup","SiteID","Language","RemoveDOB","date","expName","psychopyVersion","visual_stimuli","age_group","block","block_displayed","test_trials","numRatio","convex_hull","avg_ind_Dot_size","cum_Surf","cum_perim","Num_1","Num_2","ConvHull_1","ConvHull_2","TotSurf_1","TotSurf_2","ADBD_1","ADBD_2","AvDiameter_1","AvDiameter_2","TotContour_1","TotContour_2","ADfC_1","ADfC_2","TS_CH_1","TS_CH_2","isa_1","isa_2","threefeat","threefeat_num","fourfeat","choice_right1","totaltime_exp","corAns","choice","accuracy","rt","filename","version"
"MNtest03",1,11,2021,4,58,"4-year-olds","TESTSITE2","Japanese","No","2026-09-13","amstask","2023.2.3","dot_array_v1","4-year-olds","sample","Sample",1,0.667,20926.9,490.88,4712.4,765.6,4,6,10327.6,10599.3,2356.2,2356.2,2581.9,1766.55,27.39,22.36,344.1,421.5,57.34,58.08,0.228,0.222,589.05,392.7,"equated",3,"equated_largeR",1,1.696,"m","m",1,0.914,"TESTSITE2_MNtest03_R_TESTsim0003","local"
"MNtest03",1,11,2021,4,58,"4-year-olds","TESTSITE2","Japanese","No","2026-09-13","amstask","2023.2.3","dot_array_v1","4-year-olds","sample","Sample",2,0.667,89885.5,1813.47,22847.2,2275.2,4,6,25741.3,64144.2,7253.9,10880.9,6435.32,10690.7,48.05,48.05,603.8,905.8,90.52,142.89,0.282,0.17,1813.47,1813.48,"congruent",1,"congruent_largeR",1,3.772,"m","z",0,1.602,"TESTSITE2_MNtest03_R_TESTsim0003","local"
"MNtest03",1,11,2021,4,58,"4-year-olds","TESTSITE2","Japanese","No","2026-09-13","amstask","2023.2.3","dot_array_v1","4-year-olds","practice","Practice",3,0.727,87835,992.89,18864.9,2122.3,8,11,46792.5,41042.5,7943.1,10921.8,5849.06,3731.14,35.56,35.56,893.6,1228.7,122.04,114.3,0.17,0.266,992.89,992.89,"congruent",1,"congruent_largeR",1,5.29,"m","z",0,0.952,"TESTSITE2_MNtest03_R_TESTsim0003","local"
"MNtest03",1,11,2021,4,58,"4-year-olds","TESTSITE2","Japanese","No","2026-09-13","amstask","2023.2.3","dot_array_v1","4-year-olds","practice","Practice",4,0.75,192289.2,2375.52,52122.3,4541.2,6,8,80460,111829.2,14253.2,19004.2,13410,13978.65,55,55,1036.7,1382.2,160.04,188.67,0.177,0.17,2375.53,2375.52,"congruent",1,"congruent_largeR",1,6.436,"m","m",1,0.435,"TESTSITE2_MNtest03_R_TESTsim0003","local"
"MNtest03",1,11,2021,4,58,"4-year-olds","TESTSITE2","Japanese","No","2026-09-13","amstask","2023.2.3","dot_array_v1","4-year-olds","practice","Practice",5,0.5,23289.7,589.05,56834.7,5260.7,6,3,12229.7,11060,2356.2,2356.2,2038.28,3686.67,22.36,31.62,421.5,298,62.39,59.33,0.193,0.213,392.7,785.4,"equated",3,"equated_largeL",0,7.733,"z","z",1,0.494,"TESTSITE2_MNtest03_R_TESTsim0003","local"
"MNtest03",1,11,2021,4,58,"4-year-olds","TESTSITE2","Japanese","No","2026-09-13","amstask","2023.2.3","dot_array_v1","4-year-olds","practice","Practice",6,0.6,44402.8,1440.59,66896.7,6228.3,3,5,28030.6,16372.2,6515.9,3546.1,9343.53,3274.44,52.59,30.05,495.6,472,94.46,72.19,0.232,0.217,2171.97,709.22,"incongruent",2,"incongruent_largeR",1,10.434,"m","m",1,1.83,"TESTSITE2_MNtest03_R_TESTsim0003","local"
"MNtest03",1,11,2021,4,58,"4-year-olds","TESTSITE2","Japanese","No","2026-09-13","amstask","2023.2.3","dot_array_v1","4-year-olds","block1","Block1",7,0.8,24515,530.14,4712.4,728.9,4,5,12830.8,11684.2,2356.2,2356.2,3207.7,2336.84,27.39,24.49,344.1,384.8,63.91,60.99,0.184,0.202,589.05,471.24,"equated",3,"equated_largeR",1,12.712,"m","m",1,1.436,"TESTSITE2_MNtest03_R_TESTsim0003","local"
"MNtest03",1,11,2021,4,58,"4-year-olds","TESTSITE2","Japanese","No","2026-09-13","amstask","2023.2.3","dot_array_v1","4-year-olds","block1","Block1",8,0.667,33754.9,814.14,12027.1,1651.5,6,4,7347.8,26407.1,2404.8,4909.9,1224.63,6601.77,22.59,39.53,425.8,496.8,48.36,91.68,0.327,0.186,400.8,1227.47,"incongruent",2,"incongruent_largeL",0,14.344,"z","z",1,1.217,"TESTSITE2_MNtest03_R_TESTsim0003","local"
"MNtest03",1,11,2021,4,58,"4-year-olds","TESTSITE2","Japanese","No","2026-09-13","amstask","2023.2.3","dot_array_v1","4-year-olds","block1","Block1",9,0.667,128355.9,3065.2,39566.7,3441.6,6,4,44493.2,83862.7,9054.1,18485.5,7415.53,20965.68,43.83,76.71,826.2,963.9,119.01,163.38,0.203,0.22,1509.02,4621.38,"incongruent",2,"incongruent_largeL",0,17.592,"z","z",1,2.495,"TESTSITE2_MNtest03_R_TESTsim0003","local"
"MNtest03",1,11,2021,4,58,"4-year-olds","TESTSITE2","Japanese","No","2026-09-13","amstask","2023.2.3","dot_array_v1","4-year-olds","block1","Block1",10,0.5,113053.4,1499.38,66555.6,5912.4,12,6,62807.7,50245.7,17992.6,8996.3,5233.97,8374.28,43.69,43.69,1647.2,823.6,141.39,126.47,0.286,0.179,1499.38,1499.38,"congruent",1,"congruent_largeL",0,19.593,"z","z",1,1.485,"TESTSITE2_MNtest03_R_TESTsim0003","local"
