"participant","DayOfBirth","MonthOfBirth","YearOfBirth","age_years","age_months","AgeGroup","SiteID","Language","RemoveDOB","date","expName","psychopyVersion","item","clicks","objects","target_pos","probe_obj","probe_p1","probe_p2","probe_p3","probe_p4","probe_p5","probe_p6","probe_p7","test_p1","test_p2","test_p3","test_p4","test_p5","test_p6","test_p7","test_p8","test_p9","test_p10","test_p11","test_p12","test_p13","test_p14","test_p15","test_p16","test_p17","test_p18","test_p19","test_p20","corr_p1","corr_p2","corr_p3","corr_p4","corr_p5","corr_p6","corr_p7","corr_p8","corr_p9","corr_p10","corr_p11","corr_p12","corr_p13","corr_p14","corr_p15","corr_p16","corr_p17","corr_p18","corr_p19","corr_p20","P1T_rectangle","P2T_rectangle","P3T_rectangle","P4T_rectangle","P5T_rectangle","P6T_rectangle","P7T_rectangle","P8T_rectangle","P9T_rectangle","P10T_rectangle","P11T_rectangle","P12T_rectangle","P13T_rectangle","P14T_rectangle","P15T_rectangle","P16T_rectangle","P17T_rectangle","P18T_rectangle","P19T_rectangle","P20T_rectangle","presented","start","end","rt","accuracy","version","monitor_size","window_size","totaltime_exp","filename"
"MNtest03",1,11,2021,4,58,"4-year-olds","TESTSITE2","Japanese","No","2026-09-13","vmtask","2023.2.3","VM_trial1_set2",2,2,"pos14","circle","pos3","pos14",NA,NA,NA,NA,NA,"empty","empty","occupied","empty","empty","empty","empty","empty","empty","empty","empty","empty","empty","occupied","empty","empty","empty","empty","empty","empty",1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0.694,1.472,0.568,0.6,1.38,1.143,1.199,1.344,0.725,0.946,0.73,0.361,1.557,1.441,0.845,0.583,0.908,0.814,0.673,0.38,2,0,18.363,18.363,1,"local","1920x1080","1920x1080",18.363,"TESTSITE2_MNtest03_R_TESTsim0003"
"MNtest03",1,11,2021,4,58,"4-year-olds","TESTSITE2","Japanese","No","2026-09-13","vmtask","2023.2.3","VM_trial2_set2",2,2,"pos4","square","pos1","pos4",NA,NA,NA,NA,NA,"occupied","empty","empty","occupied","empty","empty","empty","empty","empty","empty","empty","empty","empty","empty","empty","empty","empty","empty","empty","empty",1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,1,1,1.671,0.506,0.857,0.809,0.667,1.009,1.527,1.195,1.005,0.66,0.634,1.015,0.678,0.98,1.037,0.876,0.651,0.584,1.981,0.569,2,19.363,38.274,18.911,1,"local","1920x1080","1920x1080",38.274,"TESTSITE2_MNtest03_R_TESTsim0003"
"MNtest03",1,11,2021,4,58,"4-year-olds","TESTSITE2","Japanese","No","2026-09-13","vmtask","2023.2.3","VM_trial3_set3",3,3,"pos7","circle","pos6","pos7","pos10",NA,NA,NA,NA,"empty","empty","empty","empty","empty","occupied","occupied","empty","empty","occupied","empty","empty","empty","empty","empty","empty","empty","empty","empty","empty",1,1,1,0,1,1,1,1,1,1,0,1,1,1,1,1,1,1,1,1,1.481,1.367,0.838,0.528,0.389,0.499,1.239,1.155,0.821,0.406,1.031,0.678,1.841,0.562,0.919,1.303,1.787,0.59,0.559,0.985,3,39.274,58.252,18.978,1,"local","1920x1080","1920x1080",58.252,"TESTSITE2_MNtest03_R_TESTsim0003"
"MNtest03",1,11,2021,4,58,"4-year-olds","TESTSITE2","Japanese","No","2026-09-13","vmtask","2023.2.3","VM_trial4_set3",3,3,"pos6","square","pos6","pos13","pos16",NA,NA,NA,NA,"empty","empty","empty","empty","empty","occupied","empty","empty","empty","empty","empty","empty","occupied","empty","empty","occupied","empty","empty","empty","empty",1,1,1,1,1,1,1,1,1,0,0,1,1,1,1,1,0,1,1,1,1.225,1.006,0.759,0.794,0.44,0.974,0.587,0.641,0.967,0.705,0.719,0.858,0.557,0.769,0.696,0.717,0.525,1.021,0.88,0.355,3,59.252,74.447,15.195,1,"local","1920x1080","1920x1080",74.447,"TESTSITE2_MNtest03_R_TESTsim0003"
"MNtest03",1,11,2021,4,58,"4-year-olds","TESTSITE2","Japanese","No","2026-09-13","vmtask","2023.2.3","VM_trial5_set4",4,4,"pos10","circle","pos3","pos10","pos11","pos13",NA,NA,NA,"empty","empty","occupied","empty","empty","empty","empty","empty","empty","occupied","occupied","empty","occupied","empty","empty","empty","empty","empty","empty","empty",1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,1,1,0.793,0.97,0.66,0.358,0.334,1.004,0.453,1.387,0.507,0.849,0.666,0.969,0.574,0.907,0.673,0.391,1.121,1.558,2.293,1.55,4,75.447,93.464,18.017,1,"local","1920x1080","1920x1080",93.464,"TESTSITE2_MNtest03_R_TESTsim0003"
"MNtest03",1,11,2021,4,58,"4-year-olds","TESTSITE2","Japanese","No","2026-09-13","vmtask","2023.2.3","VM_trial6_set4",4,4,"pos15","square","pos2","pos12","pos15","pos18",NA,NA,NA,"empty","occupied","empty","empty","empty","empty","empty","empty","empty","empty","empty","occupied","empty","empty","occupied","empty","empty","occupied","empty","empty",1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,1,1,1.306,0.755,1.527,0.394,0.487,1.584,1.081,0.904,0.893,2.256,0.725,0.643,0.715,0.442,0.716,1.819,1.307,0.742,0.913,1.001,4,94.464,114.674,20.21,0,"local","1920x1080","1920x1080",114.674,"TESTSITE2_MNtest03_R_TESTsim0003"
"MNtest03",1,11,2021,4,58,"4-year-olds","TESTSITE2","Japanese","No","2026-09-13","vmtask","2023.2.3","VM_trial7_set5",5,5,"pos3","triangle","pos3","pos4","pos6","pos9","pos10",NA,NA,"empty","empty","occupied","occupied","empty","occupied","empty","empty","occupied","occupied","empty","empty","empty","empty","empty","empty","empty","empty","empty","empty",1,1,1,1,1,0,1,1,1,1,1,1,1,1,1,1,1,0,1,1,0.697,0.918,0.849,1,0.872,0.363,0.876,0.884,0.62,0.683,0.932,0.813,1.168,0.899,1.088,0.619,0.968,0.607,0.874,0.977,5,115.674,132.381,16.707,1,"local","1920x1080","1920x1080",132.381,"TESTSITE2_MNtest03_R_TESTsim0003"
"MNtest03",1,11,2021,4,58,"4-year-olds","TESTSITE2","Japanese","No","2026-09-13","vmtask","2023.2.3","VM_trial8_set5",5,5,"pos18","triangle","pos5","pos7","pos15","pos17","pos18",NA,NA,"empty","empty","empty","empty","occupied","empty","occupied","empty","empty","empty","empty","empty","empty","empty","occupied","empty","occupied","occupied","empty","empty",1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1.112,0.822,1.05,0.29,0.994,0.81,1.067,0.687,0.96,1.294,1.125,0.824,0.634,1.897,1.655,0.859,0.687,0.854,0.465,0.559,5,133.381,152.026,18.645,1,"local","1920x1080","1920x1080",152.026,"TESTSITE2_MNtest03_R_TESTsim0003"
"MNtest03",1,11,2021,4,58,"4-year-olds","TESTSITE2","Japanese","No","2026-09-13","vmtask","2023.2.3","VM_trial9_set6",6,6,"pos15","circle","pos1","pos7","pos13","pos15","pos17","pos19",NA,"occupied","empty","empty","empty","empty","empty","occupied","empty","empty","empty","empty","empty","occupied","empty","occupied","empty","occupied","empty","occupied","empty",1,1,1,1,1,1,0,0,1,1,1,1,1,1,0,1,1,1,1,1,0.792,1.212,0.506,0.886,0.433,1.444,0.923,0.517,1.209,0.828,1.028,0.782,0.391,0.576,0.664,0.261,0.774,0.607,0.962,1.435,6,153.026,169.256,16.23,0,"local","1920x1080","1920x1080",169.256,"TESTSITE2_MNtest03_R_TESTsim0003"
"MNtest03",1,11,2021,4,58,"4-year-olds","TESTSITE2","Japanese","No","2026-09-13","vmtask","2023.2.3","VM_trial10_set6",6,6,"pos18","triangle","pos7","pos10","pos12","pos13","pos15","pos18",NA,"empty","empty","empty","empty","empty","empty","occupied","empty","empty","occupied","empty","occupied","occupied","empty","occupied","empty","empty","occupied","empty","empty",0,1,1,0,1,1,0,1,1,1,1,1,1,1,0,0,1,1,0,1,0.846,2.129,0.992,0.514,1.487,1.2,0.466,0.994,0.383,0.928,1.063,0.596,1.587,1.042,1.978,0.937,0.791,0.423,1.393,0.989,6,170.256,190.994,20.738,0,"local","1920x1080","1920x1080",190.994,"TESTSITE2_MNtest03_R_TESTsim0003"
